"","Date","X2m_temperature","X2m_temperature_UC","volumetric_soil_water_layer_1","volumetric_soil_water_layer_1_UC","total_precipitation","total_precipitation_UC"
"X1","1998-01-01",283.285980224609,1.33004371747083,0.412200838327408,0.0601032570831432,0.380588442087173,0.113796289947101
"X2","1998-02-01",283.252868652344,1.21014513906602,0.418436080217361,0.0514706651329715,0.692131340503693,0.0893295577123544
"X3","1998-03-01",283.069946289062,0.78327839298258,0.412230134010315,0.042473476950538,0.496419697999954,0.108319028118082
"X4","1998-04-01",283.071075439453,1.14370066414342,0.412118881940842,0.0376166669504124,0.297665119171143,0.0909856203554921
"X5","1998-05-01",281.822326660156,1.50258798465536,0.382219135761261,0.0394251862515362,0.154374107718468,0.102764738574838
"X6","1998-06-01",280.331420898438,1.51682537081672,0.399747997522354,0.0276243818185392,0.1754020601511,0.0691560101475771
"X7","1998-07-01",280.133636474609,1.23262988607765,0.373355180025101,0.0477056792870796,0.0810295641422272,0.095645894811329
"X8","1998-08-01",280.888916015625,1.469971503251,0.397880345582962,0.0389243966154958,0.19459456205368,0.103069731903724
"X9","1998-09-01",281.123718261719,0.834365622239151,0.398852229118347,0.0453022143212711,0.239867627620697,0.0813219172571481
"X10","1998-10-01",281.777160644531,0.932190664976532,0.412470161914825,0.0570384706782486,0.326381236314774,0.0996870112867215
"X11","1998-11-01",282.270660400391,1.25138012979728,0.413816750049591,0.0526689085708323,0.309162586927414,0.0961335837287753
"X12","1998-12-01",282.060791015625,0.938667751279959,0.413360089063644,0.0518842091826114,0.331829428672791,0.0909874730606285
"X13","1999-01-01",281.770965576172,0.836472768658267,0.41787400841713,0.0514459483408127,0.489163100719452,0.103490595220709
"X14","1999-02-01",281.631256103516,0.947405736841789,0.410748898983002,0.0589835124580561,0.284643918275833,0.0926523686958609
"X15","1999-03-01",281.333587646484,0.710017731751902,0.414314389228821,0.0455961628788062,0.404418557882309,0.114741406986286
"X16","1999-04-01",280.790435791016,0.557543706459797,0.402464538812637,0.0649434216135553,0.214546605944633,0.113778008925071
"X17","1999-05-01",280.598236083984,1.16118062574334,0.403032451868057,0.0522110846928976,0.174015060067177,0.117580708731828
"X18","1999-06-01",279.97119140625,1.18295120802355,0.394022136926651,0.0538817629947559,0.135393530130386,0.109552240931938
"X19","1999-07-01",278.999633789062,1.08413777416777,0.392962425947189,0.0405798127289686,0.131436765193939,0.0939729261220246
"X20","1999-08-01",279.323394775391,1.00488335541765,0.379209846258163,0.0518608327883097,0.129033148288727,0.121188653577908
"X21","1999-09-01",280.722808837891,0.627159986340466,0.404501974582672,0.0323359712761836,0.231427282094955,0.096753001494246
"X22","1999-10-01",280.833923339844,1.15296754387058,0.386832594871521,0.0442956981370965,0.149269282817841,0.095694740522717
"X23","1999-11-01",281.708679199219,0.946216815719472,0.412669211626053,0.05600753771994,0.294209212064743,0.113101188143293
"X24","1999-12-01",282.029632568359,0.785157292009751,0.410959661006927,0.0467590918201246,0.390981197357178,0.093589092851813
"X25","2000-01-01",281.440490722656,1.01796250516252,0.417364656925201,0.0490477125943392,0.461006462574005,0.125540928863012
"X26","2000-02-01",281.468811035156,1.33746751031738,0.419507473707199,0.0657110859892915,0.389312773942947,0.122553764963049
"X27","2000-03-01",281.496032714844,0.850943203494208,0.414314389228821,0.0387230565997148,0.315118610858917,0.0818106521413494
"X28","2000-04-01",281.24072265625,1.17043063275327,0.391434371471405,0.0457035475415222,0.124472036957741,0.100419507694758
"X29","2000-05-01",281.096221923828,1.1975241239229,0.377951085567474,0.0424368615152651,0.104195818305016,0.107666287653044
"X30","2000-06-01",280.004028320312,1.32537258764395,0.397792518138885,0.034198890985719,0.216695472598076,0.0776708046906253
"X31","2000-07-01",279.025726318359,1.36629772807775,0.399039566516876,0.0299785405763289,0.201072871685028,0.0946918679988098
