"","Date","X2m_temperature","X2m_temperature_UC","volumetric_soil_water_layer_1","volumetric_soil_water_layer_1_UC","total_precipitation","total_precipitation_UC"
"X1","1998-01-01",285.381469726562,1.23100799374098,0.410438597202301,0.0371417853203589,0.411537826061249,0.150298293414659
"X2","1998-02-01",285.274291992188,1.00820733621319,0.419080078601837,0.0362269663946471,0.869264721870422,0.123575698509786
"X3","1998-03-01",285.148590087891,0.611752712923934,0.412013500928879,0.0267400142866868,0.595791935920715,0.137462415972219
"X4","1998-04-01",285.118286132812,0.940304046303395,0.415643393993378,0.0212256053038041,0.362861722707748,0.125676946329153
"X5","1998-05-01",283.756469726562,1.2450521669926,0.395093530416489,0.0266361199026407,0.251342743635178,0.147180528556033
"X6","1998-06-01",282.558227539062,1.11541498590559,0.405386030673981,0.0191048314920952,0.2120211571455,0.100749713381786
"X7","1998-07-01",282.313018798828,1.09842010899242,0.387570291757584,0.0269570368629211,0.112597018480301,0.132044253191935
"X8","1998-08-01",283.09716796875,1.17201638405978,0.407850831747055,0.0227534600048899,0.253769248723984,0.154922122903772
"X9","1998-09-01",283.265502929688,0.694148235767399,0.402306467294693,0.018932512960024,0.318333953619003,0.101217049121821
"X10","1998-10-01",283.927612304688,0.954588704332093,0.413395196199417,0.0314042841173967,0.396292060613632,0.148243146677878
"X11","1998-11-01",284.274108886719,1.03888955448195,0.414946675300598,0.0424695445972274,0.424890458583832,0.148169618193161
"X12","1998-12-01",284.132690429688,0.828786355899868,0.411673933267593,0.0397617491811455,0.403434216976166,0.12435114635221
"X13","1999-01-01",283.877105712891,0.784853996101795,0.41356498003006,0.0279432011903256,0.628320872783661,0.142549762781571
"X14","1999-02-01",283.877410888672,0.897082526836494,0.403957486152649,0.0269996988913334,0.278833895921707,0.114478657497792
"X15","1999-03-01",283.611694335938,0.616550465706319,0.412651658058167,0.0274000742670348,0.452147454023361,0.167680137313241
"X16","1999-04-01",282.995880126953,0.555040300058709,0.394402682781219,0.0451416927559248,0.210647657513618,0.145650588609613
"X17","1999-05-01",282.753479003906,0.93373922625481,0.4074527323246,0.0396007795426823,0.230511412024498,0.160756275197808
