"","Date","X2m_temperature","X2m_temperature_UC","volumetric_soil_water_layer_1","volumetric_soil_water_layer_1_UC","total_precipitation","total_precipitation_UC"
"X1","1998-01-01",286.718597412109,1.23100799374098,0.410947948694229,0.0371417853203589,0.450247436761856,0.150298293414659
"X2","1998-02-01",286.567657470703,1.00820733621319,0.419542610645294,0.0362269663946471,1.06180191040039,0.123575698509786
"X3","1998-03-01",286.466644287109,0.611752712923934,0.414045065641403,0.0267400142866868,0.70166540145874,0.137462415972219
"X4","1998-04-01",286.376312255859,0.940304046303395,0.416041523218155,0.0212256053038041,0.387385219335556,0.125676946329153
"X5","1998-05-01",284.839996337891,1.2450521669926,0.398418992757797,0.0266361199026407,0.317453533411026,0.147180528556033
"X6","1998-06-01",283.794342041016,1.11541498590559,0.404291212558746,0.0191048314920952,0.212818667292595,0.100749713381786
"X7","1998-07-01",283.493865966797,1.09842010899242,0.388477772474289,0.0269570368629211,0.127819895744324,0.132044253191935
"X8","1998-08-01",284.274383544922,1.17201638405978,0.407815724611282,0.0227534600048899,0.278469234704971,0.154922122903772
"X9","1998-09-01",284.503051757812,0.694148235767399,0.399589896202087,0.018932512960024,0.324248850345612,0.101217049121821
"X10","1998-10-01",285.251831054688,0.954588704332093,0.412604838609695,0.0314042841173967,0.415566742420197,0.148243146677878
"X11","1998-11-01",285.501525878906,1.03888955448195,0.414952546358109,0.0424695445972274,0.537273228168488,0.148169618193161
"X12","1998-12-01",285.441497802734,0.828786355899868,0.413090765476227,0.0397617491811455,0.535999238491058,0.12435114635221
"X13","1999-01-01",285.238647460938,0.784853996101795,0.414244115352631,0.0279432011903256,0.768165349960327,0.142549762781571
"X14","1999-02-01",285.352844238281,0.897082526836494,0.404882520437241,0.0269996988913334,0.329470008611679,0.114478657497792
"X15","1999-03-01",284.984466552734,0.616550465706319,0.413213700056076,0.0274000742670348,0.538082361221313,0.167680137313241
"X16","1999-04-01",284.36865234375,0.555040300058709,0.395936608314514,0.0451416927559248,0.236168056726456,0.145650588609613
"X17","1999-05-01",283.989624023438,0.93373922625481,0.413032203912735,0.0396007795426823,0.294172823429108,0.160756275197808
"X18","1999-06-01",283.309539794922,1.00660608923842,0.408073306083679,0.0370204354644868,0.219021543860435,0.158906054191626
"X19","1999-07-01",282.547546386719,0.975046764110753,0.396047830581665,0.0236045065848292,0.147598206996918,0.116801106338912
"X20","1999-08-01",282.812957763672,0.911000924282769,0.377898395061493,0.0270875352532427,0.125919908285141,0.192006051476652
"X21","1999-09-01",284.333587646484,0.513861197938097,0.403512537479401,0.0163431536303044,0.263106256723404,0.140986067031402
"X22","1999-10-01",284.418029785156,0.909608915492446,0.375099867582321,0.0283597283108307,0.158860847353935,0.137631310427211
"X23","1999-11-01",284.982513427734,0.869214928864315,0.414659798145294,0.0385859548003409,0.424956917762756,0.138339342073111
"X24","1999-12-01",285.520629882812,0.750506867148484,0.412915110588074,0.0320939259613825,0.619896769523621,0.121438999067559
"X25","2000-01-01",285.107360839844,0.890090861388694,0.415251135826111,0.0357807986351486,0.663756966590881,0.162802932146439
"X26","2000-02-01",285.027954101562,1.23357558574021,0.417089492082596,0.0432927940565578,0.535874843597412,0.160612220357304
"X27","2000-03-01",285.010833740234,0.650653300288735,0.413143455982208,0.0210770095474585,0.417901694774628,0.112215619133585
"X28","2000-04-01",284.797637939453,1.00871302367439,0.391750514507294,0.0307770757892791,0.145362421870232,0.139319484666211
"X29","2000-05-01",284.311431884766,0.960534055568361,0.398705869913101,0.0254942414472228,0.180859640240669,0.137809363833546
"X30","2000-06-01",283.517730712891,1.1028377607059,0.408330917358398,0.0230586923164623,0.29496243596077,0.105322137975367
"X31","2000-07-01",282.453002929688,1.06677468399996,0.402230352163315,0.0172239603288689,0.242552369832993,0.142629631926603
"X32","2000-08-01",283.598236083984,1.19902122583175,0.39951965212822,0.0267691429590819,0.20347648859024,0.148124201594335
"X33","2000-09-01",284.142791748047,0.837332529507231,0.404302924871445,0.019390318851487,0.196602582931519,0.149085300552926
"X34","2000-10-01",284.673614501953,1.26269672274808,0.408360183238983,0.0160997361624033,0.274463206529617,0.0928836067843485
"X35","2000-11-01",285.336303710938,0.992198349154139,0.415426760911942,0.0349189334327387,0.664365649223328,0.173566404836043
"X36","2000-12-01",285.475433349609,1.00955027619541,0.41506963968277,0.0351440923135953,0.434017330408096,0.125550403677326
"X37","2001-01-01",284.748809814453,0.998625635484852,0.419636279344559,0.0396004478977836,0.663024425506592,0.147479200475226
"X38","2001-02-01",284.907318115234,0.844221269559824,0.411428034305573,0.0310867792109688,0.631467223167419,0.136885185477933
"X39","2001-03-01",284.85009765625,0.7629671231419,0.414689093828201,0.0180110866229099,0.434749871492386,0.129715416259579
"X40","2001-04-01",284.697448730469,0.887027104996173,0.388782203197479,0.0216808342709653,0.184108227491379,0.157312365622866
"X41","2001-05-01",284.179565429688,0.65517939095444,0.409613102674484,0.0444402594592032,0.288884878158569,0.169413474134127
"X42","2001-06-01",282.550079345703,0.952692486263478,0.390193164348602,0.0317663567715499,0.11293026804924,0.106371765771992
"X43","2001-07-01",282.929382324219,0.85189484059776,0.405626058578491,0.0353755310362013,0.2148078083992,0.161602700615537
"X44","2001-08-01",282.822784423828,1.14011979818211,0.391732960939407,0.0263270646285363,0.150642782449722,0.160553099618202
"X45","2001-09-01",284.267364501953,0.443164838788159,0.391170918941498,0.0209780343782654,0.195805072784424,0.161789855744294
"X46","2001-10-01",285.219848632812,0.992040371457436,0.408061593770981,0.0235934133557089,0.316858351230621,0.143854949749474
"X47","2001-11-01",285.688110351562,1.01465692201966,0.414367079734802,0.0276106267063705,0.577702641487122,0.144281566085633
"X48","2001-12-01",285.498748779297,1.08585589629798,0.414829581975937,0.0343538680468092,0.544766664505005,0.121657843309669
"X49","2002-01-01",285.696533203125,0.666168092279533,0.413781613111496,0.0347185438826944,0.699284672737122,0.140704155475491
"X50","2002-02-01",285.543334960938,1.01879329965311,0.420081228017807,0.0344222650074047,0.60564261674881,0.140285307184128
"X51","2002-03-01",285.415130615234,1.0305202975028,0.413442045450211,0.0307822330161662,0.499052226543427,0.141824837005719
"X52","2002-04-01",285.050689697266,0.452786555689701,0.402493834495544,0.0360728591482788,0.273606836795807,0.122605212875763
"X53","2002-05-01",284.66015625,1.06513155084043,0.394022136926651,0.0306295832658683,0.23969092965126,0.153739873743286
"X54","2002-06-01",283.119598388672,1.00134695578933,0.403793543577194,0.0289430815472465,0.202827617526054,0.0935871865364876
"X55","2002-07-01",282.8056640625,1.05989712423442,0.408284097909927,0.0290034594248726,0.255096942186356,0.15323751058105
"X56","2002-08-01",283.405487060547,1.16162103481737,0.391545593738556,0.0236899183010798,0.18468251824379,0.145578805014345
"X57","2002-09-01",284.095092773438,0.706941618757232,0.407224386930466,0.0181049485929108,0.254488676786423,0.109724232873673
"X58","2002-10-01",285.146636962891,1.19315284066262,0.393407374620438,0.0233657367335051,0.255028277635574,0.128660854051745
"X59","2002-11-01",285.355651855469,1.34665704880191,0.406275928020477,0.0238853942726199,0.306637108325958,0.108844097143657
"X60","2002-12-01",285.911987304688,0.994744775539279,0.420151472091675,0.0319944068409534,0.537990748882294,0.130061629901978
"X61","2003-01-01",285.8076171875,0.920686935983267,0.415971249341965,0.0379617006054693,0.701871395111084,0.143746116559721
"X62","2003-02-01",285.623016357422,1.09443301691791,0.415631681680679,0.0379661996895472,0.526080429553986,0.146405459696332
"X63","2003-03-01",285.331512451172,0.710389636885184,0.414472460746765,0.0223137786530071,0.429759502410889,0.134972040349656
"X64","2003-04-01",284.949127197266,0.966479698839799,0.404367327690125,0.0290267217877775,0.366206854581833,0.130554692353236
"X65","2003-05-01",284.299926757812,0.91927532635875,0.389426231384277,0.0275370075067957,0.207482516765594,0.164992960988811
"X66","2003-06-01",283.690826416016,0.801003865413302,0.405052304267883,0.038548078759593,0.227351114153862,0.101336300090641
"X67","2003-07-01",282.696807861328,0.760899273101534,0.402722150087357,0.0413453875482363,0.182599395513535,0.161544445347895
"X68","2003-08-01",283.138397216797,0.930198696607358,0.404624909162521,0.0325383115903357,0.249854773283005,0.157630819535799
"X69","2003-09-01",283.669494628906,0.668216045458759,0.399923622608185,0.018941244282751,0.231094986200333,0.143440403803424
"X70","2003-10-01",285.023468017578,1.00229106243702,0.406990200281143,0.0273047868065832,0.310792088508606,0.174370824823109
"X71","2003-11-01",285.276519775391,0.986515097238901,0.403412997722626,0.0283098877652095,0.441460996866226,0.150279660386677
"X72","2003-12-01",285.573913574219,0.908400091190127,0.417294412851334,0.0247705558779682,0.619118452072144,0.0960237451139557
"X73","2004-01-01",285.588500976562,1.16193284440554,0.413079053163528,0.0425262235858979,0.650319635868073,0.162363324381525
"X74","2004-02-01",285.287475585938,0.785022564504514,0.413061499595642,0.034796651198107,0.53409743309021,0.132425301987166
"X75","2004-03-01",285.679962158203,0.688007258129511,0.400304168462753,0.0217390411162778,0.259354770183563,0.135004582118939
"X76","2004-04-01",285.306274414062,1.22892598610438,0.403600364923477,0.033091758941366,0.26591968536377,0.162658042573097
"X77","2004-05-01",283.695037841797,0.583063270727372,0.408582657575607,0.0345550480291672,0.304840296506882,0.139499118233631
"X78","2004-06-01",282.966979980469,1.07799100208227,0.406691610813141,0.0344842983237982,0.238915041089058,0.108258783004421
"X79","2004-07-01",282.738342285156,0.850946192675786,0.405134290456772,0.0242352071791524,0.186239153146744,0.133787362811234
"X80","2004-08-01",283.128021240234,1.11759584660998,0.395719975233078,0.0276821068941828,0.162088558077812,0.171571043427928
"X81","2004-09-01",283.929016113281,0.677823872791843,0.389098346233368,0.0204285890232502,0.165743291378021,0.145207647541352
"X82","2004-10-01",285.014770507812,1.11831849719277,0.410655230283737,0.0144958439177675,0.370539039373398,0.113572547998269
"X83","2004-11-01",285.373046875,1.03109488308027,0.417165607213974,0.0289670708486185,0.537804901599884,0.150438019913117
"X84","2004-12-01",285.697082519531,1.2566866845313,0.41300293803215,0.0233591934870586,0.426051080226898,0.0909884121107685
"X85","2005-01-01",286.015808105469,1.02786448843001,0.410543978214264,0.0399213486343025,0.558135330677032,0.124025163884449
"X86","2005-02-01",285.696807861328,1.04729143909507,0.413143455982208,0.0345845417254809,0.306436687707901,0.139320983946487
"X87","2005-03-01",285.583465576172,0.682735571679004,0.412013500928879,0.0314687077030031,0.401534229516983,0.144997655871543
"X88","2005-04-01",285.158416748047,0.750858700436115,0.401240915060043,0.0349077536011841,0.233775526285172,0.133993657058449
"X89","2005-05-01",284.755249023438,1.12245992544741,0.404244363307953,0.0347641206223864,0.279980063438416,0.154205239867799
"X90","2005-06-01",283.477600097656,0.780716156354093,0.410971373319626,0.0256334305394017,0.27608796954155,0.123966380478591
"X91","2005-07-01",282.919860839844,0.940877786331646,0.396767973899841,0.0469493026507713,0.161195784807205,0.19637146980351
"X92","2005-08-01",283.438873291016,0.800272720419018,0.390345394611359,0.0350879749938739,0.135557249188423,0.167038167035824
"X93","2005-09-01",283.807250976562,0.697066473079642,0.406674057245255,0.0188468013480238,0.22378446161747,0.133878547150668
"X94","2005-10-01",284.916564941406,0.957807715835338,0.41594198346138,0.036077618718918,0.500059485435486,0.149025420472785
"X95","2005-11-01",285.608428955078,0.902118970926743,0.406147122383118,0.0252449867304115,0.314590096473694,0.182660261790462
"X96","2005-12-01",285.548400878906,1.00007811972176,0.415426760911942,0.0270465419484577,0.41137757897377,0.104663790744476
"X97","2006-01-01",285.221832275391,0.671511306885879,0.418102353811264,0.026534644430295,0.784624397754669,0.159235918386541
"X98","2006-02-01",285.6552734375,1.28753061766188,0.412604838609695,0.0380587903764397,0.439012765884399,0.144634926161284
"X99","2006-03-01",285.621063232422,0.468110206382206,0.412142306566238,0.0182919316712683,0.302276432514191,0.103062330276971
"X100","2006-04-01",284.680358886719,0.675565192487457,0.405268937349319,0.0342589982317514,0.212131917476654,0.138579280165406
